date,person,plot,treatment,climate,transect,subplot,position,species,species_full,ID,x_coord,y_coord,new_bro20,rosette_spring_2020,area_spring_2020,number_leafs_spring_2020,number_rosettes,number_flowers_may_2020_before,number_flowers_02.-09.06.2020,number_flowers_oct_2020,seedling_spring_2020,seedling_autumn_2020,comments20,seedling_spring_2018,seedling_autumn_2018,seedling_spring_2019,seedling_autumn_2019,rosette_spring_2018,area_spring_2018,area_autumn_2018,rosette_spring_2019,area_spring_2019,number_flowers_spring_2019_after,number_flowers_spring_2019_before,number_flowers_fall_2019_after,leaf_length_spring_2018,leaf_length_autumn_2018,xleaf_spring_2018,xleaf_autumn_2018,xleaf_spring_2019,pla_xrosette_spring19,number_flowers_spring_2018_before,number_flowers_spring_2018_after,number_flowers_autumn_2018,flower_size,comments
06.05.2019,Julia_Martin,1_1,mowing,ambient,18,1,0 - 0.50,Ant_odo,Anthoxanthum_odoratum,,,,,,,,,,,,,,,,0,1,,,,,NA,,,,,,,,,,,,,,,
27.04.2018,Martin,1_1,mowing,ambient,18,2,03.03.1950,Ant_odo,Anthoxanthum_odoratum,NA,0,39,,,,,,,,,,,,NA,0,3,,4*3,12,,NA,,,,,NA,,NA,,,,3,3,,4/4.5/4,1 flower outside
27.04.2018,Martin,1_1,mowing,ambient,18,2,03.03.1950,Ant_odo,Anthoxanthum_odoratum,NA,28,30,,,,,,,,,,,,NA,0,3,,3*2,6,,NA,,,,,NA,,NA,,,,2,2,,03.03.2005,NA
27.04.2018,Martin,1_1,mowing,ambient,18,2,03.03.1950,Ant_odo,Anthoxanthum_odoratum,NA,27,40,,,,,,,,,,,,NA,0,3,,2*2,4,,NA,,,,,NA,,NA,,,,2,2,,03. Jan,NA
27.04.2018,Martin,1_1,mowing,ambient,18,2,03.03.1950,Ant_odo,Anthoxanthum_odoratum,NA,25,43,,,,,,,,,,,,NA,0,3,,1*1,1,,NA,,,,,NA,,NA,,,,2,2,,01.03.2005,1 seems eaten 
27.04.2018,Lotte,1_1,mowing,ambient,18,3,06.06.1950,Ant_odo,Anthoxanthum_odoratum,NA,7,32,,,,,,,,,,,,NA,0,,,4*5,20,,NA,,,,,NA,,NA,,,,8,8,,4/3.5/4/3/3/3.5/2.5/2,NA
27.04.2018,Lotte,1_1,mowing,ambient,18,3,06.06.1950,Ant_odo,Anthoxanthum_odoratum,NA,25,50,,,,,,,,,,,,NA,0,,,4*5,20,,NA,,,,,NA,,NA,,,,11,11,,4.5/4/4.5/4/4/2.5/3/3.5/4/4.5/4,NA
27.04.2018,Lotte,1_1,mowing,ambient,18,3,06.06.1950,Ant_odo,Anthoxanthum_odoratum,NA,20,31,,,,,,,,,,,,NA,0,,,2*1,2,,1*1,1,,,,NA,,NA,,,,2,2,,04.02.2005,NA
27.04.2018,Lotte,1_1,mowing,ambient,18,3,06.06.1950,Ant_odo,Anthoxanthum_odoratum,NA,33,22,,,,,,,,,,,,NA,0,,,1*1.5,1.5,,1*1,1,,,,NA,,NA,,,,2,2,,02.05.2003,NA
27.04.2018,Lotte,1_1,mowing,ambient,18,3,06.06.1950,Ant_odo,Anthoxanthum_odoratum,NA,24,4,,,,,,,,,,,,NA,0,,,1*1,1,,NA,,,,,NA,,NA,,,,1,1,,3.5,NA
27.04.2018,Lotte,1_1,mowing,ambient,18,3,06.06.1950,Ant_odo,Anthoxanthum_odoratum,NA,21,4,,,,,,,,,,,,NA,0,,,0.5*0.5,0.25,,NA,,,,,NA,,NA,,,,1,1,,5,NA
27.04.2018,Lotte,1_1,mowing,ambient,18,3,06.06.1950,Ant_odo,Anthoxanthum_odoratum,NA,24,10,,,,,,,,,,,,NA,0,,,0.5*0.5,0.25,,0.5*0.5,0.25,,,,NA,,NA,,,,1,1,,4.5,NA
06.05.2019,Lotte,1_1,mowing,ambient,18,4,8.50 - 9,Ant_odo,Anthoxanthum_odoratum,,38,30,,,,,,,,,,,,,NA,,,,,,1*1,1,,2,,,,,,,,,,,,
06.05.2019,Julia_Martin,1_1,mowing,ambient,18,5,2.50 - 3,Ant_odo,Anthoxanthum_odoratum,,,,,,,,,,,,,,,,NA,6,,,,,NA,,,,,,,,,,,,,,,
15.04.2020,Martin,1_1,mowing,ambient,18,8,01.01.1950,Ant_odo,Anthoxanthum_odoratum,,36,6,,3*2,6,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,already develops a flower
06.05.2020,Martin,1_1,mowing,ambient,18,8,01.01.1950,Ant_odo,Anthoxanthum_odoratum,,41,7,,1*1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.11.2018,Lotte_Martin,1_3,mowing,ambient,18,1,01.01.1950,Ant_odo,Anthoxanthum_odoratum,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
06.05.2019,Julia_Martin,1_3,grazing,ambient,17,2,03.03.1950,Ant_odo,Anthoxanthum_odoratum,,18,40,,,,,,,,,,,,,1,1,,,,,1*1,1,1,2,,,,,,,,,,,,
27.04.2018,Martin,1_3,grazing,ambient,17,2,03.03.1950,Ant_odo,Anthoxanthum_odoratum,NA,29.5,11,,,,,,,,,,,,NA,1,1,,3*4,12,,NA,,,,,NA,,NA,,,,3,0,,2/3.5/4,NA
27.04.2018,Martin,1_3,grazing,ambient,17,2,03.03.1950,Ant_odo,Anthoxanthum_odoratum,NA,5,25,,,,,,,,,,,,NA,1,1,,3*2,6,,0.5*0.5,0.25,,,,NA,,NA,,,,2,0,,03.05.2004,NA
27.04.2018,Martin,1_3,grazing,ambient,17,2,03.03.1950,Ant_odo,Anthoxanthum_odoratum,NA,23.5,15,,,,,,,,,,,,NA,1,1,,2*2,4,,NA,,,,,NA,,NA,,,,3,0,,4/3.5/3.5,NA
