date,person,plot,climate,treatment,subplot,position,species,species_full,ID,x_coord,y_coord,rosette_spring_2020,rosette_autmn_2020,area_spring_2020,area_autumn_2020,number_leafs_spring_2020,number_leafs_02.-03.06.2020,number_rosettes_spring_2020,number_flowers_12.-20.05.2020,number_flowers_02/03.06.2020,number_flowers_18.08.2020,number_flowers_5./6.11.2020,seedling_spring_2020,Comments 2020,seedling_autumn_2020,seedling_spring_2018,seedling_autumn_2018,rosette_2019,area_spring_2019,xleaf_spring_2019,number_flowers_spring_2019,number_flowers_July_2019,seedling_spring_2019,seedling_autumn_19,comments,number_flowers_autumn_2019,number_flowers_aug_2019, rosette_2018,area_spring_2018,area_cm2_august18,max_leaf_length_cm,xleaf_spring_2018,leaf_number_august_2018,flowers_1st_harvest,flowers_2nd_harvest,comments
03.05.2018,Martin,1_1,ambient,control,1,bottom left,Ant_odo,Anthoxanthum_odoratum,422,55,20,,,,,,,,,,,,,,,,,2.5*1,2.5,,0,,,,,,,0.5*0.5,0.25,,,,,1,0,
03.05.2018,Martin,1_1,ambient,control,1,bottom left,Ant_odo,Anthoxanthum_odoratum,,42,40,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5*0.5,0.55,,,,,1,0,
03.05.2018,Martin,1_1,ambient,control,1,bottom left,Bro_ere,Bromus_erectus,415,65,17,6*6,,36,,,,,7,,,,1,,2,1,2,6*5,30,,8,,,,,,,1*1,1,,,,,1,0,
03.05.2018,Martin,1_1,ambient,control,1,bottom left,Bro_ere,Bromus_erectus,436,66,31,7*7,,49,,,,,23,,,,,,,1,2,6*6,36,,11,,,,,,,4*3,12,,,,,1,0,
03.05.2018,Martin,1_1,ambient,control,1,bottom left,Bro_ere,Bromus_erectus,1352,15,6,9*7,,63,,,,,40,,,,,,,1,2,9*7,63,,6,,,,,,,6*5,30,,,,,5,0,
03.05.2018,Martin,1_1,ambient,control,1,bottom left,Pla_lan,Plantago_lanceolata,426,62,36,,,,,7,,1,,,,,,,1,,5,,,7,,,,1,,,,,,,32.5,5,0,0,0,
03.05.2018,Martin,1_1,ambient,control,1,bottom left,Pla_lan,Plantago_lanceolata,427,52,11,,,,,,,,,,,,,,,,5,,,,,,,,seedling there now 3 leaves,,,,,,22,5,0,0,0,
03.05.2018,Martin,1_1,ambient,control,1,bottom left,Pla_lan,Plantago_lanceolata,,40,38,,,,,,,,,,,,,,,,5,,,,,,,,seedling there now 3 leaves,,,,,,19.5,4,0,0,0,
03.05.2018,Martin,1_1,ambient,control,1,bottom left,Pla_lan,Plantago_lanceolata,,47,37.5,,,,,7,,1,,,,,,,,,5,,,5,,,,,,,,,,,14,3,0,0,0,
03.05.2018,Martin,1_1,ambient,control,1,bottom left,Pla_lan,Plantago_lanceolata,,48,35.5,,,,,6,,1,16,,,,1,,,,5,,,4,,,,,,,,,,,11,2,0,0,0,
03.05.2018,Martin,1_1,ambient,control,1,bottom left,Pla_lan,Plantago_lanceolata,,44,38,,,,,,,,,,,,,,,,5,,,4,,,,,2 flowers eaten,,,,,,16,4,0,0,0,
03.05.2018,Martin,1_1,ambient,control,1,bottom left,Tra_ori,Tragopogon_orientalis,414,13,66,,,,,,,,,,,,,,,,,,,,,,,,next to Dac glo,,,,,,20.5,2,2,0,0,
03.05.2018,Martin,1_1,ambient,control,1,bottom left,Tra_ori,Tragopogon_orientalis,,23,34,,,,,5,,,,,,,,,,,,,,3,,,,,additional 3 leaves dried,,,,,,28,2,2,0,0,
03.05.2018,Martin,1_1,ambient,control,1,bottom left,Tri_pra,Trifolium_pratense,,19.5,16,,,,,,,,,,,,,,,10,3,,,,,,3,,,,,2*1,2,,,,,0,0,
03.05.2018,Martin,1_1,ambient,control,1,bottom left,Tri_pra,Trifolium_pratense,,3,31,,,,,,,,,,,,,,,10,3,,,,,,3,,,,,5*4,20,,,,,0,0,
03.05.2018,Martin,1_1,ambient,control,1,bottom left,Tri_pra,Trifolium_pratense,,20,30,,,,,,,,,,,,,,,10,3,,,,,,3,,,,,6*6,36,,,,,0,0,
03.05.2018,Martin,1_1,ambient,control,1,bottom left,Tri_pra,Trifolium_pratense,,30,29.5,,,,,,,,,,,,,,,10,3,,,,,,3,,,,,4*4,16,,,,,0,0,
03.05.2018,Martin,1_1,ambient,control,1,bottom left,Tri_pra,Trifolium_pratense,,26,43,,,,,,,,,,,,,,,10,3,,,,,,3,,,,,3*3,9,,,,,0,0,
03.05.2018,Martin,1_1,ambient,control,1,bottom left,Tri_pra,Trifolium_pratense,,41.5,11,,,,,,,,,,,,,,,10,3,,,,,,3,,,,,5*5,25,,,,,0,0,
03.05.2018,Martin,1_1,ambient,control,1,bottom left,Tri_pra,Trifolium_pratense,,20,43,,,,,,,,,,,,,,,10,3,,,,,,3,,,,,4*5,20,,,,,0,0,
10.05.2019,Julia,1_1,ambient,control,1,bottom left,Pla_lan,Plantago_lanceolata,,22,36,,,,,4,,1,,,,,,vllt neuer Seedling?,,,,,,4,,,,,,,,,,,,,,,,
10.05.2019,Julia,1_1,ambient,control,1,bottom left,Pla_lan,Plantago_lanceolata,,18,36,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,
